"","From","FromAnno","To","ToAnno","Jaccard","Cor"
"6242","hsa:2819","GPD1, GPD-C, GPDH-C, HTGTI; glycerol-3-phosphate dehydrogenase 1 (soluble) (EC:1.1.1.8); K00006 glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.82","0.51"
"6243","hsa:26330","GAPDHS, GAPD2, GAPDH-2, GAPDS, HSD-35; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic (EC:1.2.1.12); K10705 glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.82","0.48"
"6244","hsa:23171","GPD1L, GPD1-L; glycerol-3-phosphate dehydrogenase 1-like (EC:1.1.1.8); K00006 glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.82","0.5"
"6245","hsa:2597","GAPDH, G3PD, GAPD; glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.12); K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.81","0.46"
"6246","hsa:1740","DLG2, PPP1R58, PSD-93, PSD93, chapsyn-110; discs, large homolog 2 (Drosophila); K12075 discs large protein 2/3 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.81","0.5"
"6247","hsa:10554","AGPAT1, 1-AGPAT1, G15, LPAAT-alpha, LPAATA; 1-acylglycerol-3-phosphate O-acyltransferase 1 (EC:2.3.1.51); K13509 lysophosphatidate acyltransferase [EC:2.3.1.51] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.81","0.49"
"6248","hsa:51538","ZCCHC17, HSPC251, PS1D, RP11-266K22.1, pNO40; zinc finger, CCHC domain containing 17 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.81","0.49"
"6249","hsa:51204","TACO1, CCDC44; translational activator of mitochondrially encoded cytochrome c oxidase I (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.81","0.49"
"6250","hsa:134637","ADAT2, DEADC1, TAD2, dJ20N2, dJ20N2.1; adenosine deaminase, tRNA-specific 2; K15441 tRNA-specific adenosine deaminase 2 [EC:3.5.4.-] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.45"
"6251","hsa:5096","PCCB; propionyl CoA carboxylase, beta polypeptide (EC:6.4.1.3); K01966 propionyl-CoA carboxylase beta chain [EC:6.4.1.3] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.42"
"6252","hsa:158067","AK8, AK_8, C9orf98, DDX31, RP11-143F18.1; adenylate kinase 8 (EC:2.7.4.3 2.7.4.6) (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.39"
"6253","hsa:123263","MTFMT, COXPD15, FMT1; mitochondrial methionyl-tRNA formyltransferase (EC:2.1.2.9); K00604 methionyl-tRNA formyltransferase [EC:2.1.2.9] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.4"
"6254","hsa:22984","PDCD11, ALG-4, ALG4, NFBP, RRP5; programmed cell death 11; K14792 rRNA biogenesis protein RRP5 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.38"
"6255","hsa:5162","PDHB, PDHBD, PDHE1-B, PHE1B; pyruvate dehydrogenase (lipoamide) beta (EC:1.2.4.1); K00162 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.39"
"6256","hsa:204","AK2, ADK2, AK_2; adenylate kinase 2 (EC:2.7.4.3); K00939 adenylate kinase [EC:2.7.4.3] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.38"
"6257","hsa:113179","ADAT3, FWP005, MRT36, MST121, MSTP121, S863-5, TAD3; adenosine deaminase, tRNA-specific 3; K15442 tRNA-specific adenosine deaminase 3 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.47"
"6258","hsa:1659","DHX8, DDX8, HRH1, PRP22, PRPF22; DEAH (Asp-Glu-Ala-His) box polypeptide 8 (EC:3.6.4.13); K12818 ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.37"
"6259","hsa:100526794","NT5C1B-RDH14; NT5C1B-RDH14 readthrough; K01081 5'-nucleotidase [EC:3.1.3.5] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.8","0.4"
"6260","hsa:10797","MTHFD2, NMDMC; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase (EC:3.5.4.9 1.5.1.15); K13403 methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.38"
"6261","hsa:4522","MTHFD1, MTHFC, MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase (EC:1.5.1.5 6.3.4.3 3.5.4.9); K00288 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.38"
"6262","hsa:100529241","HSPE1-MOB4, HSPE1-PHOCN; HSPE1-MOB4 readthrough (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.46"
"6263","hsa:441024","MTHFD2L; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like (EC:3.5.4.9 1.5.1.15); K13403 methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.38"
"6264","hsa:51067","YARS2, MLASA2, MT-TYRRS, TYRRS; tyrosyl-tRNA synthetase 2, mitochondrial (EC:6.1.1.1); K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.36"
"6265","hsa:51023","MRPS18C, MRP-S18-1, MRPS18-1; mitochondrial ribosomal protein S18C; K02963 small subunit ribosomal protein S18 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.46"
"6266","hsa:50808","AK3, AK3L1, AK6, AKL3L, AKL3L1, FIX; adenylate kinase 3 (EC:2.7.4.10); K00944 nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.35"
"6267","hsa:25902","MTHFD1L, FTHFSDC1, MTC1THFS, dJ292B18.2; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (EC:6.3.4.3); K13402 monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.36"
"6268","hsa:51182","HSPA14, HSP70-4, HSP70L1; heat shock 70kDa protein 14 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.34"
"6269","hsa:285126","DNAJC5G, CSP-gamma; DnaJ (Hsp40) homolog, subfamily C, member 5 gamma; K09525 DnaJ homolog subfamily C member 5 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.34"
"6270","hsa:221264","AK9, AK_9, AKD1, AKD2, C6orf199, C6orf224, RP1-70A9.1, dJ70A9.1; adenylate kinase 9 (EC:2.7.4.6 2.7.4.4) (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.34"
"6271","hsa:471","ATIC, AICAR, AICARFT, IMPCHASE, PURH; 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase (EC:2.1.2.3 3.5.4.10); K00602 phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.4"
"6272","hsa:11062","DUS4L, DUS4, PP35; dihydrouridine synthase 4-like (S. cerevisiae); K05545 tRNA-dihydrouridine synthase 4 [EC:1.3.1.90] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.38"
"6273","hsa:51292","GMPR2; guanosine monophosphate reductase 2 (EC:1.7.1.7); K00364 GMP reductase [EC:1.7.1.7] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.35"
"6274","hsa:203100","HTRA4; HtrA serine peptidase 4; K08786 HtrA serine peptidase 4 [EC:3.4.21.-] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.39"
"6275","hsa:120526","DNAJC24, DPH4, JJJ3, ZCSL3; DnaJ (Hsp40) homolog, subfamily C, member 24; K17867 diphthamide biosynthesis protein 4 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.33"
"6276","hsa:10049","DNAJB6, DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2, LGMD1E, MRJ, MSJ-1; DnaJ (Hsp40) homolog, subfamily B, member 6; K09512 DnaJ homolog subfamily B member 6 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.33"
"6277","hsa:27349","MCAT, FASN2C, MCT, MT, NET62, fabD; malonyl CoA:ACP acyltransferase (mitochondrial) (EC:2.3.1.39); K00645 [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.48"
"6278","hsa:3305","HSPA1L, HSP70-1L, HSP70-HOM, HSP70T, hum70t; heat shock 70kDa protein 1-like; K03283 heat shock 70kDa protein 1/8 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6279","hsa:3338","DNAJC4, DANJC4, HSPF2, MCG18; DnaJ (Hsp40) homolog, subfamily C, member 4; K09524 DnaJ homolog subfamily C member 4 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6280","hsa:3306","HSPA2, HSP70-2, HSP70-3; heat shock 70kDa protein 2; K03283 heat shock 70kDa protein 1/8 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6281","hsa:25822","DNAJB5, Hsc40; DnaJ (Hsp40) homolog, subfamily B, member 5; K09511 DnaJ homolog subfamily B member 5 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6282","hsa:3337","DNAJB1, HSPF1, Hdj1, Hsp40, RSPH16B, Sis1; DnaJ (Hsp40) homolog, subfamily B, member 1; K09507 DnaJ homolog subfamily B member 1 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6283","hsa:10539","GLRX3, GLRX4, GRX3, GRX4, PICOT, TXNL2, TXNL3; glutaredoxin 3 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6284","hsa:3301","DNAJA1, DJ-2, DjA1, HDJ2, HSDJ, HSJ2, HSPF4, NEDD7, hDJ-2; DnaJ (Hsp40) homolog, subfamily A, member 1; K09502 DnaJ homolog subfamily A member 1 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6285","hsa:51741","WWOX, D16S432E, FOR, FRA16D, HHCMA56, PRO0128, SDR41C1, WOX1; WW domain containing oxidoreductase (EC:1.1.1.-) (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.33"
"6286","hsa:3310","HSPA6; heat shock 70kDa protein 6 (HSP70B'); K03283 heat shock 70kDa protein 1/8 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6287","hsa:51726","DNAJB11, ABBP-2, ABBP2, DJ9, Dj-9, EDJ, ERdj3, ERj3, ERj3p, PRO1080, UNQ537, hDj-9; DnaJ (Hsp40) homolog, subfamily B, member 11; K09517 DnaJ homolog subfamily B member 11 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6288","hsa:134218","DNAJC21, DNAJA5, GS3, JJJ1; DnaJ (Hsp40) homolog, subfamily C, member 21; K09506 DnaJ homolog subfamily A member 5 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6289","hsa:23071","ERP44, PDIA10, TXNDC4; endoplasmic reticulum protein 44; K17264 endoplasmic reticulum resident protein 44 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.33"
"6290","hsa:10525","HYOU1, GRP-170, Grp170, HSP12A, ORP-150, ORP150; hypoxia up-regulated 1; K09486 hypoxia up-regulated 1 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.32"
"6291","hsa:3312","HSPA8, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP1, NIP71; heat shock 70kDa protein 8; K03283 heat shock 70kDa protein 1/8 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6292","hsa:11080","DNAJB4, DNAJW, DjB4, HLJ1; DnaJ (Hsp40) homolog, subfamily B, member 4; K09510 DnaJ homolog subfamily B member 4 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6293","hsa:203","AK1; adenylate kinase 1 (EC:2.7.4.3 2.7.4.6); K00939 adenylate kinase [EC:2.7.4.3] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6294","hsa:3313","HSPA9, CSA, GRP-75, GRP75, HSPA9B, MOT, MOT2, MTHSP75, PBP74; heat shock 70kDa protein 9 (mortalin); K04043 molecular chaperone DnaK (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6295","hsa:374407","DNAJB13, RSPH16A, TSARG5, TSARG6; DnaJ (Hsp40) homolog, subfamily B, member 13; K09519 DnaJ homolog subfamily B member 13 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6296","hsa:22824","HSPA4L, APG-1, HSPH3, Osp94; heat shock 70kDa protein 4-like; K09485 heat shock protein 110kDa (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6297","hsa:4189","DNAJB9, ERdj4, MDG-1, MDG1, MST049, MSTP049; DnaJ (Hsp40) homolog, subfamily B, member 9; K09515 DnaJ homolog subfamily B member 9 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6298","hsa:3309","HSPA5, BIP, GRP78, MIF2; heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa); K09490 heat shock 70kDa protein 5 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6299","hsa:147015","DHRS13, SDR7C5; dehydrogenase/reductase (SDR family) member 13; K11169 dehydrogenase/reductase SDR family member 13 [EC:1.1.-.-] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6300","hsa:150353","DNAJB7, DJ5, HSC3; DnaJ (Hsp40) homolog, subfamily B, member 7; K09513 DnaJ homolog subfamily B member 7 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6301","hsa:10294","DNAJA2, CPR3, DJ3, DJA2, DNAJ, DNJ3, HIRIP4, PRO3015, RDJ2; DnaJ (Hsp40) homolog, subfamily A, member 2; K09503 DnaJ homolog subfamily A member 2 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.3"
"6302","hsa:3300","DNAJB2, DSMA5, HSJ-1, HSJ1, HSPF3; DnaJ (Hsp40) homolog, subfamily B, member 2; K09508 DnaJ homolog subfamily B member 2 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.3"
"6303","hsa:11231","SEC63, DNAJC23, ERdj2, PRO2507, SEC63L; SEC63 homolog (S. cerevisiae); K09540 translocation protein SEC63 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.31"
"6304","hsa:202052","DNAJC18; DnaJ (Hsp40) homolog, subfamily C, member 18; K09538 DnaJ homolog subfamily C member 18 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.3"
"6305","hsa:165721","DNAJB8, DJ6; DnaJ (Hsp40) homolog, subfamily B, member 8; K09514 DnaJ homolog subfamily B member 8 (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.79","0.3"
